company,type,focus,contact_info,website,priority
Kelly Services,Prime Vendor,"AI/ML, Tech Staff Augmentation",TBD - LinkedIn research needed,kellyservices.com,High
Robert Half Technology,Prime Vendor,"IT Staffing, Data Science",TBD - LinkedIn research needed,roberthalf.com,High
TEKsystems,Prime Vendor,"Technology Consulting, AI Engineers",TBD - LinkedIn research needed,teksystems.com,High
Insight Global,Prime Vendor,"IT Staffing, Contract Placements",TBD - LinkedIn research needed,insightglobal.net,High
Apex Systems,Prime Vendor,"Technology Staffing, AI/ML",TBD - LinkedIn research needed,apexsystems.com,Medium
Randstad Technologies,Prime Vendor,Digital & Technology,TBD - LinkedIn research needed,randstadusa.com,Medium
Netflix,Direct Client,"ML Engineers, Data Science",TBD - LinkedIn research needed,netflix.com,High
Spotify,Direct Client,"AI/ML, Recommendation Systems",TBD - LinkedIn research needed,spotify.com,High
Uber,Direct Client,"ML Engineers, Data Engineers",TBD - LinkedIn research needed,uber.com,Medium
Airbnb,Direct Client,"Data Science, ML Infrastructure",TBD - LinkedIn research needed,airbnb.com,Medium
