target_id,date_generated,day_focus,company,sector,technology,contract_signals,preferred_engagement,hourly_rates,typical_duration,urgency,recruiter_title,linkedin_search,search_priority,research_status,contact_found,email_sent,response_received,notes
T0016,2026-02-16,Monday,Goldman Sachs,Fintech Banking,Java,Heavy contract hiring for trading systems,"C2C, 1099 for specialized skills",$100-180/hour,3-6 months,Quarterly trading system upgrades,Contract Technical Recruiter,"""Goldman Sachs"" AND ""Contract Technical Recruiter"" AND ""contract"" AND ""Java""",High,Not Started,No,No,No,"High-paying contracts, fast decision making"
T0033,2026-02-16,Monday,Bank of America,Fintech Banking,AWS,Digital transformation contractor surge,"C2C preferred, some 1099",$70-130/hour,6-18 months,Cloud migration projects ongoing,Technology Vendor Manager,"""Bank of America"" AND ""Technology Vendor Manager"" AND ""contract"" AND ""AWS""",High,Not Started,No,No,No,Large scale contractor programs
T0026,2026-02-16,Monday,Bank of America,Fintech Banking,Java,Digital transformation contractor surge,"C2C preferred, some 1099",$70-130/hour,6-18 months,Cloud migration projects ongoing,Digital Contractor Recruiter,"""Bank of America"" AND ""Digital Contractor Recruiter"" AND ""contract"" AND ""Java""",High,Not Started,No,No,No,Large scale contractor programs
T0025,2026-02-16,Monday,Goldman Sachs,Fintech Banking,DevOps,Heavy contract hiring for trading systems,"C2C, 1099 for specialized skills",$100-180/hour,3-6 months,Quarterly trading system upgrades,Trading Technology Recruiter,"""Goldman Sachs"" AND ""Trading Technology Recruiter"" AND ""contract"" AND ""DevOps""",Medium,Not Started,No,No,No,"High-paying contracts, fast decision making"
T0051,2026-02-16,Monday,Deloitte Digital,Consulting Agencies,React,Project-based contractor model,"C2C, 1099 for specialists",$80-150/hour,4-8 months,Client project demands,Project Staffing Manager,"""Deloitte Digital"" AND ""Project Staffing Manager"" AND ""contract"" AND ""React""",High,Not Started,No,No,No,Premium rates for digital expertise
T0001,2026-02-16,Monday,JPMorgan Chase,Fintech Banking,Java,Posts 50+ contract developer roles monthly,C2C through approved vendors,$80-150/hour,6-12 months,Always hiring contractors for regulatory projects,Talent Acquisition - Contract,"""JPMorgan Chase"" AND ""Talent Acquisition - Contract"" AND ""contract"" AND ""Java""",High,Not Started,No,No,No,"Massive contract budget, prefers established vendors"
T0049,2026-02-16,Monday,Deloitte Digital,Consulting Agencies,Python,Project-based contractor model,"C2C, 1099 for specialists",$80-150/hour,4-8 months,Client project demands,Project Staffing Manager,"""Deloitte Digital"" AND ""Project Staffing Manager"" AND ""contract"" AND ""Python""",High,Not Started,No,No,No,Premium rates for digital expertise
T0019,2026-02-16,Monday,Goldman Sachs,Fintech Banking,Python,Heavy contract hiring for trading systems,"C2C, 1099 for specialized skills",$100-180/hour,3-6 months,Quarterly trading system upgrades,Trading Technology Recruiter,"""Goldman Sachs"" AND ""Trading Technology Recruiter"" AND ""contract"" AND ""Python""",High,Not Started,No,No,No,"High-paying contracts, fast decision making"
T0054,2026-02-16,Monday,Deloitte Digital,Consulting Agencies,DevOps,Project-based contractor model,"C2C, 1099 for specialists",$80-150/hour,4-8 months,Client project demands,Digital Contractor Lead,"""Deloitte Digital"" AND ""Digital Contractor Lead"" AND ""contract"" AND ""DevOps""",Medium,Not Started,No,No,No,Premium rates for digital expertise
T0035,2026-02-16,Monday,Bank of America,Fintech Banking,DevOps,Digital transformation contractor surge,"C2C preferred, some 1099",$70-130/hour,6-18 months,Cloud migration projects ongoing,Technology Vendor Manager,"""Bank of America"" AND ""Technology Vendor Manager"" AND ""contract"" AND ""DevOps""",Medium,Not Started,No,No,No,Large scale contractor programs
T0003,2026-02-16,Monday,JPMorgan Chase,Fintech Banking,Java,Posts 50+ contract developer roles monthly,C2C through approved vendors,$80-150/hour,6-12 months,Always hiring contractors for regulatory projects,Contract Staffing Lead,"""JPMorgan Chase"" AND ""Contract Staffing Lead"" AND ""contract"" AND ""Java""",High,Not Started,No,No,No,"Massive contract budget, prefers established vendors"
T0028,2026-02-16,Monday,Bank of America,Fintech Banking,Python,Digital transformation contractor surge,"C2C preferred, some 1099",$70-130/hour,6-18 months,Cloud migration projects ongoing,Digital Contractor Recruiter,"""Bank of America"" AND ""Digital Contractor Recruiter"" AND ""contract"" AND ""Python""",High,Not Started,No,No,No,Large scale contractor programs
